chr	start	end	strand
chr1	963517	964593	-
chr1	978653	979791	-
chr1	982752	984149	-
chr1	986167	987414	-
chr1	1019880	1020140	-
chr1	1027394	1028476	+
chr1	1031435	1032620	+
chr1	1035670	1039606	-
chr1	1046055	1050726	+
chr1	1052068	1056671	+
chr1	1061293	1062884	+
chr1	1064156	1065607	+
chr1	1067484	1067823	+
chr1	1075073	1075412	+
chr1	1075911	1080177	-
chr1	1082364	1084856	+
chr1	1085726	1086272	+
chr1	1088357	1091625	+
chr1	1097577	1100243	+
chr1	1101818	1103665	+
chr1	1104445	1108896	-
chr1	1114119	1114337	+
chr1	1125141	1127656	+
chr1	1134825	1137722	+
chr1	1138661	1142256	-
chr1	1144648	1150594	+
chr1	1151760	1152724	-
chr1	1156371	1157914	+
chr1	1159381	1159928	+
chr1	1160025	1160402	-
chr1	1161391	1162353	+
chr1	1167270	1168505	-
chr1	1173227	1174118	-
chr1	1180451	1181224	+
chr1	1182747	1185617	+
chr1	1199927	1200283	-
chr1	1205944	1207152	-
chr1	1214354	1214651	+
chr1	1215048	1215386	+
chr1	1219387	1220889	+
chr1	1237771	1239277	-
chr1	1251129	1251485	-
chr1	1256047	1256458	-
chr1	1273199	1274215	+
chr1	1275674	1275919	+
chr1	1287767	1288431	+
chr1	1290642	1291691	-
chr1	1299650	1299958	-
chr1	1307021	1307603	+
chr1	1316864	1317893	-
chr1	1323909	1324877	+
chr1	1330550	1332222	-
chr1	1334294	1334883	+
chr1	1339078	1339683	-
chr1	1344446	1347201	-
chr1	1348217	1348804	+
chr1	1356931	1357244	+
chr1	1367762	1369038	-
chr1	1376998	1377621	+
chr1	1377659	1378293	+
chr1	1383361	1383673	+
chr1	1392631	1393226	+
chr1	1401455	1401736	+
chr1	1408284	1408661	-
chr1	1411156	1411455	-
chr1	1420089	1443896	+
chr1	1445425	1445768	+
chr1	1455536	1457313	-
chr1	1462752	1465437	+
chr1	1476054	1476352	+
chr1	1478540	1478786	+
chr1	1489841	1490166	+
chr1	1507611	1507966	-
chr1	1516581	1518853	-
chr1	1532059	1535934	+
chr1	1536104	1536407	-
chr1	1545537	1546323	-
chr1	1551000	1551363	-
chr1	1555258	1556267	+
chr1	1559427	1560654	-
chr1	1563962	1565169	+
chr1	1566869	1567204	+
chr1	1586862	1587956	+
chr1	1590645	1590971	+
chr1	1592032	1593745	+
chr1	1595026	1601205	-
chr1	1605919	1607338	+
chr1	1609418	1611707	-
chr1	1618042	1619660	-
chr1	1636910	1638118	-
chr1	1641791	1644575	-
chr1	1646061	1649918	-
chr1	1655673	1658029	-
chr1	1659127	1659761	+
chr1	1661486	1664978	-
chr1	1666354	1667572	-
chr1	1668728	1669306	+
chr1	1671040	1674635	-
chr1	1677214	1677583	+
chr1	1679318	1680760	-
chr1	1685452	1686852	-
chr1	1688535	1691392	+
chr1	1693311	1696330	+
chr1	1697752	1700261	+
chr1	1701477	1701677	-
chr1	1706289	1710420	+
chr1	1712082	1713397	+
chr1	1713727	1715368	-
chr1	1715436	1716663	-
chr1	1719701	1720529	+
chr1	1721374	1725827	+
chr1	1728232	1730616	+
chr1	1732338	1738084	+
chr1	1741343	1741720	+
chr1	1741901	1746931	+
chr1	1747056	1747727	+
chr1	1749045	1755350	-
chr1	1760519	1762533	+
chr1	1765086	1766845	+
chr1	1771139	1774050	+
chr1	1777082	1778592	+
chr1	1782483	1782797	+
chr1	1783870	1784356	-
chr1	1785898	1788936	-
chr1	1790636	1792899	-
chr1	1794476	1795201	+
chr1	1797239	1797784	-
chr1	1801045	1801299	+
chr1	1808651	1811860	-
chr1	1819606	1823205	+
chr1	1823791	1824493	+
chr1	1826572	1833652	-
chr1	1835614	1837963	-
chr1	1840068	1842817	-
chr1	1845982	1851526	-
chr1	1856389	1859223	+
chr1	1860211	1860542	-
chr1	1860876	1862980	-
chr1	1865622	1865930	+
chr1	1870717	1873945	+
chr1	1876084	1879724	+
chr1	1881570	1883804	-
chr1	1885773	1887840	+
chr1	1889649	1890044	-
chr1	1890543	1907258	-
chr1	1908874	1909550	-
chr1	1915835	1916896	+
chr1	1921373	1922930	-
chr1	1923719	1924030	+
chr1	1928756	1932254	+
chr1	1933549	1939860	-
chr1	1944408	1944653	+
chr1	1945787	1950886	+
chr1	1956432	1957277	+
chr1	1957766	1961094	-
chr1	1962323	1965316	-
chr1	1975975	1977182	-
chr1	1989210	1989431	+
chr1	1989880	1990670	+
chr1	1993291	1994578	-
chr1	1995638	1996566	+
chr1	1998333	1998689	+
chr1	2004382	2006134	+
chr1	2008786	2014406	-
chr1	2015035	2017108	+
chr1	2018478	2020264	+
chr1	2020594	2023540	-
chr1	2024840	2029472	-
chr1	2031106	2032945	-
chr1	2034930	2035380	+
chr1	2036825	2042630	-
chr1	2044157	2044708	-
chr1	2048273	2049304	+
chr1	2050501	2050704	+
chr1	2053280	2054068	-
chr1	2056031	2056670	-
chr1	2057814	2059631	-
chr1	2061566	2063054	+
chr1	2063072	2065039	-
chr1	2067815	2073721	-
chr1	2075130	2077396	-
chr1	2084711	2086734	+
chr1	2095070	2096916	-
chr1	2098480	2099478	-
chr1	2107946	2108681	+
chr1	2111601	2113306	-
chr1	2119224	2119621	+
chr1	2120920	2122908	+
chr1	2124917	2127216	+
chr1	2127386	2127672	-
chr1	2133249	2134373	+
chr1	2135511	2139218	-
chr1	2142077	2142247	-
chr1	2149329	2151431	-
chr1	2152287	2152505	-
chr1	2155887	2156767	+
chr1	2162652	2164110	+
chr1	2166009	2167400	-
chr1	2169887	2170117	-
chr1	2173482	2176547	-
chr1	2180104	2181590	-
chr1	2182656	2184624	-
chr1	2185841	2187029	-
chr1	2188205	2188417	-
chr1	2190536	2191246	+
chr1	2196207	2199735	-
chr1	2201291	2204386	+
chr1	2205957	2209737	-
chr1	2211369	2213747	-
chr1	2220213	2222764	+
chr1	2224100	2226464	-
chr1	2228545	2229272	-
chr1	2233792	2235039	+
chr1	2244866	2248328	+
chr1	2250043	2250905	+
chr1	2256952	2258144	+
chr1	2259861	2261177	+
chr1	2265664	2270637	+
chr1	2271429	2271870	-
chr1	2274054	2275282	+
chr1	2276985	2279881	-
chr1	2283690	2285222	+
chr1	2286320	2286508	-
chr1	2288035	2288401	-
chr1	2291055	2293479	+
chr1	2294392	2294656	-
chr1	2297745	2298042	+
chr1	2299183	2299891	+
chr1	2299997	2300745	-
chr1	2301265	2301504	-
chr1	2303950	2304216	+
chr1	2304609	2306487	-
chr1	2307881	2308516	+
chr1	2310304	2311297	+
chr1	2312428	2314816	-
chr1	2318238	2318898	+
chr1	2327303	2328283	+
chr1	2334414	2335086	+
chr1	2338813	2339186	+
chr1	2350843	2351320	-
chr1	2352687	2354820	-
chr1	2356743	2359593	-
chr1	2362476	2367184	-
chr1	2371681	2372366	-
chr1	2373630	2376637	-
chr1	2380003	2381658	-
chr1	2385307	2385895	+
chr1	2391304	2391543	+
chr1	2399087	2399377	-
chr1	2402686	2407489	-
chr1	2408670	2411472	-
chr1	2415259	2420641	+
chr1	2421959	2422651	-
chr1	2423892	2425534	-
chr1	2437379	2437597	+
chr1	2441675	2441824	-
chr1	2451030	2451224	+
chr1	2459037	2459339	+
chr1	2476661	2477110	-
chr1	2480766	2489539	-
chr1	2493271	2493997	+
chr1	2494124	2494834	+
chr1	2496384	2498803	+
chr1	2499580	2501669	-
chr1	2505267	2506263	+
chr1	2507295	2508778	+
chr1	2510412	2510923	+
chr1	2512169	2516164	-
chr1	2512315	2512587	+
chr1	2517780	2520306	-
chr1	2521644	2522048	-
chr1	2524796	2527481	+
chr1	2528499	2531038	-
chr1	2533298	2534958	-
chr1	2550535	2550702	+
chr1	2551285	2551575	-
chr1	2557783	2558111	+
chr1	2565273	2565572	+
chr1	2569365	2569697	+
chr1	2572529	2572771	-
chr1	2573405	2574430	-
chr1	2576118	2577114	-
chr1	2578257	2578583	+
chr1	2581397	2581702	-
chr1	2582687	2583078	+
chr1	2583665	2604459	-
chr1	2615883	2616480	-
chr1	2617080	2619665	-
chr1	2643678	2644170	+
chr1	2655058	2657119	+
chr1	2666722	2667516	+
chr1	2683829	2684368	+
chr1	2692465	2692689	-
chr1	2701607	2701816	+
chr1	2706461	2706745	+
chr1	2707714	2776188	-
chr1	2806769	2807367	-
chr1	2807604	2810376	-
chr1	2840076	2840504	-
chr1	2859606	2860058	-
chr1	2871891	2872580	+
chr1	2875087	2875737	-
chr1	2876430	2879906	-
chr1	2886954	2887938	-
chr1	2893953	2900854	-
chr1	2905446	2906204	+
chr1	2908621	2915925	-
chr1	2917575	2919994	-
chr1	2926245	2927568	-
chr1	2930275	2932556	-
chr1	2936642	2937165	+
chr1	2944173	2946564	+
chr1	2947545	2947802	-
chr1	2948066	2951109	-
chr1	2956645	2957106	+
chr1	2962699	2964877	-
chr1	2967224	2971200	+
chr1	2974950	2975443	+
chr1	2979763	2981402	-
chr1	2986797	2987900	-
chr1	2989017	2990108	-
chr1	2991433	2992341	-
chr1	2994274	2995321	-
chr1	2997047	2997907	+
chr1	2999974	3009498	+
chr1	3009734	3014828	+
chr1	3023723	3023956	+
chr1	3024719	3025879	+
chr1	3026249	3027366	+
chr1	3032489	3033579	+
chr1	3035191	3045072	-
chr1	3047757	3050716	+
chr1	3050924	3053950	-
chr1	3054921	3055181	-
chr1	3056726	3058448	-
chr1	3064956	3069511	-
chr1	3071752	3072110	-
chr1	3076415	3077156	+
chr1	3080593	3080895	+
chr1	3087692	3089306	-
chr1	3097604	3098087	+
chr1	3098933	3100447	+
chr1	3103794	3106669	-
chr1	3111375	3112152	-
chr1	3116392	3116754	+
chr1	3120448	3121852	-
chr1	3131713	3131976	-
chr1	3134697	3136770	-
chr1	3139488	3140454	+
chr1	3143521	3144932	-
chr1	3154108	3155565	-
chr1	3159781	3161645	+
chr1	3163696	3165691	-
chr1	3167713	3168361	+
chr1	3173434	3174152	+
chr1	3174690	3177605	+
chr1	3179338	3179680	+
chr1	3181796	3183963	+
chr1	3184493	3185393	-
chr1	3190198	3191536	+
chr1	3197200	3197685	-
chr1	3198371	3199509	-
chr1	3201437	3205281	+
chr1	3213331	3215109	+
chr1	3218370	3222992	+
chr1	3224072	3227893	-
chr1	3232386	3235776	-
chr1	3237650	3238414	-
chr1	3238676	3242748	-
chr1	3255677	3260503	-
chr1	3267966	3270795	-
chr1	3281575	3284847	+
chr1	3286507	3288938	+
chr1	3294660	3297568	+
chr1	3298961	3305087	+
chr1	3314122	3315748	-
chr1	3317483	3319666	+
chr1	3320442	3322012	+
chr1	3324195	3325038	-
chr1	3327795	3330705	+
chr1	3336511	3336726	-
chr1	3338088	3338963	-
chr1	3350137	3356468	+
chr1	3358239	3360516	+
chr1	3361726	3368835	+
chr1	3373074	3374419	+
chr1	3378934	3380673	-
chr1	3381519	3383248	-
chr1	3385004	3388449	+
chr1	3390086	3393123	+
chr1	3395231	3395872	-
chr1	3397099	3399076	+
chr1	3401006	3401203	+
chr1	3408094	3408294	-
chr1	3410696	3412798	-
chr1	3415222	3415915	+
chr1	3419404	3420189	-
chr1	3425002	3425655	+
chr1	3427987	3428452	-
chr1	3429739	3432044	-
chr1	3438870	3439939	+
chr1	3443697	3445603	-
chr1	3448902	3449432	-
chr1	3451678	3452319	-
chr1	3460506	3462668	+
chr1	3463704	3466462	-
chr1	3468742	3471093	+
chr1	3473588	3473860	+
chr1	3474123	3475945	+
chr1	3477492	3478846	-
chr1	3481471	3485703	+
chr1	3486167	3488215	-
chr1	3490025	3491560	-
chr1	3493577	3494540	-
chr1	3498057	3499705	-
chr1	3508772	3512599	+
chr1	3514002	3517402	+
chr1	3519566	3524029	-
chr1	3526686	3528509	-
chr1	3530094	3530825	+
chr1	3534822	3538606	+
chr1	3540365	3541212	-
chr1	3542726	3543223	+
chr1	3545589	3547235	-
chr1	3549910	3554906	-
chr1	3556102	3558770	-
chr1	3561073	3563005	-
chr1	3564993	3565259	-
chr1	3571441	3574150	+
chr1	3574668	3575888	+
chr1	3578621	3579648	+
chr1	3580345	3582166	+
chr1	3583127	3584218	-
chr1	3588448	3590347	-
chr1	3591907	3596879	-
chr1	3602734	3603447	+
chr1	3607346	3611750	-
chr1	3613515	3613712	-
chr1	3615376	3616002	-
chr1	3618018	3620655	-
chr1	3623405	3626885	+
chr1	3628571	3631741	+
chr1	3634173	3637344	-
chr1	3640144	3641505	+
chr1	3648518	3653201	+
chr1	3654175	3656181	+
chr1	3658674	3659052	-
chr1	3660793	3665812	+
chr1	3667826	3670080	-
chr1	3678480	3680268	+
chr1	3690265	3692877	-
chr1	3695660	3696994	-
chr1	3698367	3700507	-
chr1	3701290	3705930	-
chr1	3708608	3711202	-
chr1	3716193	3718705	-
chr1	3722747	3723183	+
chr1	3724049	3726828	-
chr1	3732389	3732601	+
chr1	3733467	3736348	-
chr1	3742816	3744236	-
chr1	3744978	3746275	+
chr1	3748264	3749414	-
chr1	3750694	3752559	-
chr1	3756886	3762593	+
chr1	3765671	3769301	+
chr1	3773185	3776526	+
chr1	3782679	3786891	+
chr1	3795941	3798351	+
chr1	3798620	3805240	-
chr1	3815643	3818107	-
chr1	3828238	3831727	+
chr1	3833994	3835118	-
chr1	3835962	3836428	+
chr1	3838801	3841603	+
chr1	3843753	3847242	+
chr1	3848520	3849076	+
chr1	3849737	3852173	-
chr1	3853270	3853764	+
chr1	3855529	3856515	-
chr1	3863806	3865938	+
chr1	3875261	3877067	-
chr1	3888474	3890440	-
chr1	3891456	3896196	-
chr1	3900698	3901575	+
chr1	3903640	3907157	-
chr1	3907726	3908602	-
chr1	3914399	3919729	+
chr1	3920711	3925445	-
chr1	3929473	3934492	+
chr1	3936001	3937320	-
chr1	3938026	3943152	-
chr1	3955565	3956286	+
chr1	3961850	3964912	-
chr1	3967906	3968208	+
chr1	3968647	3972648	-
chr1	3975823	3979028	+
chr1	3981619	3984509	+
chr1	3984841	3986026	-
chr1	3992998	3993401	+
chr1	3997219	3999866	+
chr1	4004493	4007830	+
chr1	4010032	4010943	-
chr1	4017972	4030258	-
chr1	4031267	4037484	-
chr1	4045167	4045790	+
chr1	4053123	4054251	+
chr1	4066153	4067114	+
chr1	4067984	4071669	+
chr1	4072355	4076457	-
chr1	4077401	4078498	+
chr1	4079382	4080120	+
chr1	4082358	4083736	+
chr1	4086165	4088161	+
chr1	4090002	4090261	+
chr1	4094220	4095577	+
chr1	4100726	4102084	+
chr1	4103595	4105723	-
chr1	4106138	4110989	-
chr1	4112226	4116971	+
chr1	4120858	4122002	+
chr1	4124717	4125694	+
chr1	4127823	4128002	+
chr1	4129732	4132186	+
chr1	4133170	4135409	-
chr1	4135838	4137329	+
chr1	4140905	4144189	+
chr1	4149206	4151024	+
chr1	4152306	4153322	+
chr1	4160433	4170206	+
chr1	4172324	4180288	+
chr1	4182989	4183769	+
chr1	4184608	4186243	-
chr1	4187596	4187873	-
chr1	4190121	4193433	-
chr1	4194658	4206755	-
chr1	4212433	4216053	+
chr1	4217214	4218092	-
chr1	4220090	4222863	+
chr1	4225395	4230484	+
chr1	4232394	4232651	-
chr1	4234147	4238297	+
chr1	4240915	4241738	+
chr1	4244138	4246261	-
chr1	4248701	4251424	-
chr1	4263717	4267972	+
chr1	4269452	4271675	+
chr1	4274567	4276382	-
chr1	4279059	4279511	-
chr1	4283163	4285235	-
chr1	4287187	4287742	-
chr1	4290861	4292031	+
chr1	4297106	4302824	+
chr1	4305944	4310834	-
chr1	4311305	4315271	-
chr1	4316038	4317934	-
chr1	4321492	4324800	-
chr1	4332696	4333933	+
chr1	4337160	4345607	-
chr1	4346158	4349814	+
chr1	4351675	4352241	+
chr1	4355736	4367999	-
chr1	4372735	4375090	+
chr1	4378931	4381838	+
chr1	4383423	4386662	-
chr1	4389025	4389552	+
chr1	4393445	4397031	+
chr1	4397555	4398162	+
chr1	4399757	4399918	-
chr1	4408468	4409215	+
chr1	4409650	4411908	-
chr1	4415514	4420591	+
chr1	4423321	4428284	+
chr1	4428983	4439839	-
chr1	4447207	4447842	+
chr1	4449229	4449795	-
chr1	4451351	4459322	-
chr1	4464515	4466841	-
chr1	4468058	4474863	+
chr1	4477351	4478589	-
chr1	4486224	4487264	+
chr1	4491552	4492716	-
chr1	4498869	4500240	-
chr1	4508772	4509512	+
chr1	4509656	4510195	+
chr1	4511826	4512491	+
chr1	4515184	4517140	+
chr1	4524593	4528445	+
chr1	4534159	4548786	+
chr1	4553201	4557145	+
chr1	4560237	4562984	+
chr1	4564720	4565687	+
chr1	4567074	4567657	+
chr1	4570458	4571388	-
chr1	4573131	4581875	-
chr1	4583744	4589278	+
chr1	4589824	4592652	+
chr1	4594091	4596701	+
chr1	4604402	4607956	+
chr1	4611022	4613765	+
chr1	4615489	4616391	+
chr1	4617846	4620814	+
chr1	4621168	4623335	-
chr1	4636343	4639861	+
chr1	4642710	4643162	-
chr1	4643763	4645381	+
chr1	4645647	4646756	+
chr1	4650658	4653737	+
chr1	4660374	4663550	+
chr1	4664989	4666306	+
chr1	4667315	4667929	-
chr1	4670374	4674264	-
chr1	4688226	4690449	+
chr1	4693216	4697453	+
chr1	4698759	4703635	+
chr1	4704176	4704961	-
chr1	4707218	4707685	+
chr1	4716330	4717075	-
chr1	4719632	4719901	+
chr1	4728638	4729182	-
chr1	4733936	4734211	+
chr1	4740626	4742727	-
chr1	4744253	4753594	-
chr1	4754750	4754965	-
chr1	4756465	4758608	+
chr1	4760489	4761290	+
chr1	4762098	4773287	+
chr1	4776706	4777609	+
chr1	4778308	4782893	-
chr1	4796497	4805055	+
chr1	4806479	4807825	+
chr1	4808473	4809376	-
chr1	4809926	4811472	+
chr1	4813300	4816349	+
chr1	4820172	4821485	+
chr1	4822276	4822975	-
chr1	4823582	4829812	+
chr1	4838810	4840024	-
chr1	4848981	4850190	-
chr1	4861439	4861789	+
chr1	4862697	4864317	-
chr1	4865766	4866646	+
chr1	4868562	4869866	+
chr1	4873133	4873534	+
chr1	4879949	4882270	+
chr1	4885552	4889371	-
chr1	4893012	4894120	+
chr1	4895953	4897229	+
chr1	4899440	4900663	+
chr1	4910666	4916360	-
chr1	4917552	4917948	-
chr1	4925752	4927850	+
chr1	4930886	4932216	-
chr1	4936784	4946148	+
chr1	4948796	4951933	+
chr1	4952206	4955086	-
chr1	4965460	4966101	+
chr1	4968838	4969044	-
chr1	4989430	4989763	+
chr1	4991721	4992023	+
chr1	4992678	4996871	-
chr1	4999708	5001587	+
chr1	5003040	5007025	-
chr1	5009756	5011956	+
chr1	5012515	5013076	+
chr1	5015858	5022348	+
chr1	5024268	5024597	-
chr1	5031640	5035212	-
chr1	5047172	5050380	+
chr1	5058990	5060462	-
chr1	5069194	5073157	-
chr1	5078776	5083514	+
chr1	5089997	5091152	+
chr1	5105686	5109413	+
chr1	5112269	5113996	+
chr1	5115267	5117123	+
chr1	5118979	5120405	-
chr1	5123016	5125906	+
chr1	5126393	5129172	-
chr1	5134932	5136405	+
chr1	5144273	5144676	-
chr1	5145247	5148254	-
chr1	5154853	5165554	+
chr1	5166334	5166540	-
chr1	5167932	5171074	-
chr1	5171814	5174953	-
chr1	5177001	5180628	-
chr1	5182319	5184255	-
chr1	5205430	5209902	+
chr1	5210730	5211112	+
chr1	5212812	5214062	+
chr1	5216220	5217430	-
chr1	5228865	5231324	+
chr1	5256673	5257527	-
chr1	5261276	5265514	+
chr1	5267151	5269530	-
chr1	5271752	5276215	+
chr1	5277636	5280888	-
chr1	5285287	5290826	+
chr1	5297068	5302723	+
chr1	5306769	5311250	+
chr1	5315187	5321457	+
chr1	5322384	5322863	-
chr1	5326210	5329790	-
chr1	5331878	5332477	+
chr1	5335868	5339944	+
chr1	5357681	5358847	+
chr1	5360043	5361515	+
chr1	5362466	5362821	-
chr1	5368104	5368960	-
chr1	5369532	5377947	-
chr1	5383751	5386488	+
chr1	5388403	5393937	-
chr1	5404661	5406661	-
chr1	5408297	5408611	-
chr1	5411988	5419103	-
chr1	5424645	5425133	-
chr1	5431095	5431595	+
chr1	5433023	5433755	+
chr1	5439713	5440357	+
chr1	5441156	5441380	-
chr1	5441777	5443042	+
chr1	5445349	5445970	+
chr1	5446795	5448611	-
chr1	5450321	5450587	-
chr1	5452472	5462993	-
chr1	5468301	5469970	+
chr1	5470327	5470894	-
chr1	5471622	5474231	-
chr1	5479784	5485618	-
chr1	5489283	5491963	+
chr1	5498955	5502260	-
chr1	5510358	5511161	-
chr1	5517712	5518083	-
chr1	5522325	5522540	-
chr1	5540242	5540478	-
chr1	5546715	5550288	+
chr1	5552723	5558903	-
chr1	5563928	5566258	+
chr1	5567004	5567525	-
chr1	5569147	5575696	-
chr1	5581208	5595631	-
chr1	5598667	5599483	-
chr1	5607648	5609305	+
chr1	5612258	5612801	-
chr1	5615252	5618926	-
chr1	5625481	5627430	+
chr1	5628425	5632403	-
chr1	5639800	5644279	+
chr1	5655871	5657843	+
chr1	5661024	5662137	+
chr1	5665840	5666360	-
chr1	5673398	5674586	+
chr1	5679128	5683582	-
chr1	5689107	5693459	-
chr1	5704299	5705865	-
chr1	5716998	5719750	+
chr1	5720914	5721162	-
chr1	5730328	5730788	-
chr1	5737453	5739511	+
chr1	5742813	5744558	+
chr1	5746528	5746758	-
chr1	5749446	5753580	+
chr1	5754969	5758150	-
chr1	5761376	5763424	-
chr1	5766681	5769616	+
chr1	5771259	5771735	+
chr1	5774763	5777079	+
chr1	5777397	5777956	+
chr1	5779930	5780139	+
chr1	5781609	5782045	+
chr1	5783884	5785649	+
chr1	5790943	5791200	+
chr1	5792315	5794016	-
chr1	5794626	5796167	+
chr1	5796282	5798127	-
chr1	5805689	5806140	+
chr1	5812510	5818142	+
chr1	5822819	5825068	+
chr1	5826856	5829056	-
chr1	5835656	5836749	-
chr1	5842776	5845409	+
chr1	5849550	5851130	-
chr1	5859019	5862807	-
chr1	5864160	5865711	-
chr1	5869070	5869791	+
chr1	5870060	5882033	-
chr1	5888503	5888685	-
chr1	5890262	5892123	+
chr1	5892863	5902647	-
chr1	5907073	5909154	-
chr1	5919852	5923422	+
chr1	5928554	5929387	-
chr1	5932136	5936185	+
chr1	5937870	5938356	+
chr1	5940287	5943475	+
chr1	5945110	5945274	-
chr1	5949475	5950487	-
chr1	5954593	5955548	+
chr1	5961667	5964238	-
chr1	5965192	5966511	+
chr1	5969975	5970653	+
chr1	5973043	5974247	+
chr1	5974872	5975380	-
chr1	5978616	5979646	-
chr1	5981558	5981773	-
chr1	5990677	5991394	+
chr1	5991449	5991688	+
chr1	5992774	5996405	+
chr1	5997920	6001100	-
chr1	6015744	6016314	-
chr1	6019158	6019756	-
chr1	6025954	6027193	-
chr1	6028399	6031959	-
chr1	6036016	6038837	-
chr1	6041381	6044357	+
chr1	6049108	6050268	-
chr1	6053085	6055292	+
chr1	6062593	6063267	-
chr1	6084077	6085084	-
chr1	6090848	6092703	+
chr1	6093278	6093804	+
chr1	6094560	6094954	-
chr1	6096576	6101797	+
chr1	6105557	6106957	-
chr1	6111165	6112778	+
chr1	6120920	6124267	+
chr1	6124688	6128903	-
chr1	6134117	6136460	-
chr1	6144131	6145055	+
chr1	6157078	6158333	-
chr1	6160709	6161919	+
chr1	6163443	6163715	-
chr1	6168713	6169386	+
chr1	6170404	6173936	-
chr1	6177746	6179707	+
chr1	6183250	6183612	-
chr1	6184143	6193425	-
chr1	6194318	6198415	-
chr1	6202601	6203728	-
chr1	6207967	6209914	-
chr1	6223412	6226461	+
chr1	6227961	6229852	-
chr1	6231140	6231421	-
chr1	6238674	6240262	-
chr1	6241570	6243357	+
chr1	6244693	6247028	-
chr1	6253028	6253365	+
chr1	6270725	6274664	+
chr1	6278520	6280284	+
chr1	6280766	6283754	-
chr1	6285129	6285392	-
chr1	6290302	6292669	-
chr1	6293340	6294395	-
chr1	6301721	6305322	+
chr1	6307784	6310381	-
chr1	6313676	6313894	-
chr1	6315276	6315863	-
chr1	6317236	6319499	+
chr1	6322915	6323796	-
chr1	6327337	6327591	-
chr1	6328987	6330991	-
chr1	6342597	6344748	-
